,도로명,링크아이디,시점명,종점명,거리,차선수,평균속도,좌표
3260,양재대로156길,1240023700,고덕소방파출소,배재중학교,325.0,1.0,27.872401537698416,"LINESTRING(213468.927367 450859.666642, 213241.246013 450769.977692, 213215.583161 450763.377816, 213177.464048 450763.317254, 213163.805813 450770.567847)"
3261,양재대로156길,1240023800,배재중학교,고덕소방파출소,335.0,1.0,24.372520665322583,"LINESTRING(213157.606739 450766.265644, 213173.912838 450757.609409, 213216.538448 450757.677131, 213244.381192 450764.837623, 213472.753058 450854.798582)"
3262,양재대로55길,1220017400,대청초교,일원1동주민센터앞,330.0,2.0,14.829932379672298,"LINESTRING(207679.728335 443781.774756, 207717.071923 443689.975501, 207754.415512 443598.176246, 207804.206963 443475.777239)"
3263,양재대로55길,1220017500,일원1동주민센터앞,대청초교,330.0,1.0,20.328413746479775,"LINESTRING(207815.322443 443480.298974, 207777.978855 443572.098229, 207740.635267 443663.897485, 207690.843816 443786.296491)"
3264,양재천로,1210010000,영동1교북단,KT연구개발본부,857.5,1.0,20.08753589829749,"LINESTRING(203416.593112 441809.957794, 203372.821765 441784.454883, 203350.04692 441770.153906, 203324.113379 441751.299323, 203184.44353 441640.765858, 203169.24466 441633.130526, 203154.893885 441626.030453, 203137.536301 441621.123165, 203080.03768 441607.573531, 203049.55222 441600.710951, 203024.577964 441591.996487, 202992.49616 441576.45598, 202930.749662 441539.398471, 202904.56231 441519.78517, 202871.494276 441488.645927, 202859.002965 441471.654934, 202861.854837 441442.536651, 202859.062197 441427.993655, 202852.73199 441417.064252, 202840.040946 441403.877451, 202808.584822 441366.608188, 202800.318362 441361.644038, 202784.864576 441360.590758, 202771.605855 441358.666785, 202760.268828 441351.210622, 202748.106411 441336.372335)"
3265,양재천로,1210010100,KT연구개발본부,영동1교북단,853.0,1.0,24.426397625448026,"LINESTRING(202757.387151 441328.765242, 202768.390442 441342.189382, 202775.970114 441347.1744, 202786.136043 441348.649577, 202804.018184 441349.868366, 202816.470328 441357.346091, 202848.958686 441395.838347, 202862.386948 441409.791163, 202870.463952 441423.736497, 202873.966913 441441.978572, 202871.393842 441468.250229, 202880.515881 441480.658255, 202912.296912 441510.585562, 202937.45155 441529.425401, 202998.210836 441565.890429, 203029.18571 441580.894737, 203052.857432 441589.154698, 203082.731647 441595.87968, 203140.5463 441609.503787, 203159.223394 441614.784124, 203174.598796 441622.391133, 203190.92754 441630.594071, 203331.368097 441741.737467, 203356.773641 441760.208178, 203379.0347 441774.186534, 203422.634196 441799.589317)"
3266,양재천로,1210011400,영동2교북단,영동1교북단,708.0,1.0,24.793252096134154,"LINESTRING(203852.79104 442337.045663, 203520.09708 441845.570617, 203506.234897 441826.529654, 203495.606179 441818.125487, 203478.966338 441813.025516, 203419.386599 441810.769258)"
3267,양재천로,1210011500,영동1교북단,영동2교북단,719.0,1.0,25.09708741359447,"LINESTRING(203419.840709 441798.777853, 203480.985428 441801.093376, 203501.279487 441807.313334, 203514.968104 441818.136975, 203529.919289 441838.673782, 203862.728324 442330.318823)"
3268,양재천로,1220007800,강남수도사업소,영동2교북단,481.0,1.0,30.424779097862267,"LINESTRING(204210.626699 442652.087909, 203906.32308 442419.567533, 203852.726074 442336.947635)"
3269,양재천로,1220007900,영동2교북단,강남수도사업소,477.0,1.0,29.86425767249104,"LINESTRING(203862.793291 442330.416851, 203915.259645 442411.293846, 204217.912493 442642.552858)"
3270,양재천로,1220009800,영동3교,강남수도사업소,569.0,1.0,28.105084821428573,"LINESTRING(204665.765106 442993.075887, 204542.921125 442901.550602, 204443.244997 442826.721034, 204343.568868 442751.891466, 204210.667364 442652.118709)"
3271,양재천로,1220009900,강남수도사업소,영동3교,568.0,1.0,29.696077356950845,"LINESTRING(204217.871828 442642.522059, 204317.547957 442717.351627, 204417.224085 442792.181195, 204550.12559 442891.953952, 204672.097782 442982.829609)"
3272,양재천로,1220011600,대지초교,영동3교,917.0,1.0,28.215751328084995,"LINESTRING(205461.902869 443420.978298, 205421.395707 443413.273495, 205290.384738 443380.964251, 205225.589659 443360.947032, 205169.430642 443338.524873, 205097.870098 443303.78333, 205040.939177 443270.871861, 204969.235561 443219.177357, 204841.346475 443123.893254, 204713.45739 443028.60915, 204665.765106 442993.075887)"
3273,양재천로,1220011700,영동3교,대지초교,916.0,1.0,30.635989903353817,"LINESTRING(204672.097782 442982.829609, 204677.99719 442987.224979, 204805.886275 443082.509083, 204976.32913 443209.498907, 205047.467364 443260.784896, 205103.500751 443293.177506, 205174.282163 443327.540791, 205229.591897 443349.623864, 205293.59507 443369.396439, 205423.955356 443401.545215, 205467.483299 443409.824596)"
3274,양재천로,1220015200,영동5교,대지초교,209.0,1.0,27.6922011328725,"LINESTRING(205667.43581 443458.309142, 205639.193536 443451.7314, 205513.895738 443430.86778, 205461.902869 443420.978298)"
3275,양재천로,1220016800,영동6교,영동5교,778.0,1.0,31.187042610727083,"LINESTRING(206290.233406 443873.177472, 206163.702565 443704.446181, 206111.814548 443650.959055, 206057.978817 443603.500095, 206026.47043 443580.203975, 205973.07837 443549.695095, 205927.266397 443526.750019, 205885.309274 443512.271239, 205765.630264 443481.155806, 205667.43581 443458.309142)"
3276,양재천로,1220016900,대지초교,영동6교,986.0,1.0,28.312692708333334,"LINESTRING(205467.483299 443409.824596, 205516.00267 443419.05339, 205641.541398 443439.957127, 205768.350225 443469.468128, 205888.781455 443500.775027, 205931.930891 443515.665256, 205978.746338 443539.112925, 206033.036918 443570.13523, 206065.527495 443594.157545, 206120.10139 443642.267234, 206172.846032 443696.637385, 206295.982193 443860.554451)"
3277,양천로,1140000500,증미역,양화교,1696.0,3.0,23.077555867575526,"LINESTRING(187897.172993 450814.826439, 187973.153868 450767.991562, 188052.150814 450706.307524, 188150.544383 450606.838624, 188182.354665 450576.785837, 188211.551633 450554.929643, 188322.890675 450493.148661, 188444.964082 450418.32048, 188469.551181 450395.474648, 188613.978525 450227.114224, 188680.204299 450156.8201, 188734.631178 450111.998781, 188785.777022 450078.727647, 188839.082706 450052.279273, 188899.720506 450031.178386, 189237.556768 449933.45751, 189286.477276 449904.503054)"
