아티스트,제목,곡의 빠르기,잡음,진폭의 변화,주파수의 밝기,파워,X,Y
(여자)아이들,주세요,0.5681621000271329,0.21344682602786808,0.21452217537337515,0.2508052002842304,0.967039103314837,36.37000158511556,43.83789080766448
10cm,그러나,0.9867214565421997,0.13469515885853856,0.3309184352710663,0.2106756446567663,0.274169850674145,36.589059143915975,54.38938995557147
2NE1,Fire,0.5681621000271329,0.6019097070094576,0.8084388654197996,0.7535456695511246,0.5203224985485292,64.34708927031349,65.18849675608368
2NE1,살아 봤으면 해,0.9968288087825973,0.5012905157695982,0.41750123391031246,0.5266293961645526,0.5224515045037058,58.8290304913247,68.99318515553423
4minute,거울아 거울아,0.6654853730091297,0.6871285891896594,0.9510902487282096,0.888337686691013,0.7270809887494626,75.97084275673791,77.55006940814086
5mg,Coffee House,0.47574580447627257,0.025453030959137212,0.8637531657141058,0.755370326294093,0.7312490138247687,42.67429404336167,58.97932246705394
8Eight,사랑을 잃고 난 노래하네,0.5681621000271329,0.934195572820368,0.9238272645587665,0.9367871361194768,0.49663604082178625,81.54184197394535,74.24708815107172
aespa,Next Level,0.3199772389206965,0.6673130260541124,0.37486096544937686,0.510770830206523,0.786354231256672,53.56053574419792,45.0483980430537
As One,비 개인 후 비 (Feat. 키디비),0.2083709341932341,0.19022069787283802,0.5411142795152009,0.4610764626938868,0.6464624363430044,33.67392117945113,36.74548355406954
B.A.P,비밀연애 (Feat. 송지은),0.5681621000271329,0.8310473513737909,0.8495672295273234,0.8862917537146815,0.22044107331837642,72.66380891637134,67.95854791284708
BE'O(비오),Counting Stars (Feat. Beenzino),0.47574580447627257,0.05053172217093652,0.30183465867864634,0.34819011286280266,0.1689499605210465,22.74427888377433,34.22514443679972
BLACKPINK,뚜두뚜두 [DDU-DU DDU-DU],0.847155427871578,0.9643610472361499,0.9268895174047355,0.9817086808499489,0.5231602225442005,89.10402982891375,86.9333937777603
BMK,꽃 피는 봄이 오면,0.6654853730091297,0.4972203971116803,0.1664496901696595,0.14998522338859516,0.6405793594524903,44.43316297645385,44.32611075717199
BOBBY,연결고리#힙합,0.761206540659798,0.6362520921103989,0.3291535748683701,0.44400292233587735,0.3778729428509515,55.4760446468476,56.052641920090366
CHEEZE,꼬일대로,0.5681621000271329,0.14523330442314286,0.5330181681119948,0.3606048760906103,0.7581963235957364,39.020949536571734,49.63324116532621
Cosmic Boy,"Can I Love？ (Feat. 유라(youra), Meego)",0.05627712148977717,0.08063803205154263,0.03518445439679117,0.05764220057235297,0.008783063740774956,5.719005442924352,5.001828916897146
DAY6,예뻤어,0.0696342145819519,0.7793695690267777,0.2552461411356309,0.3086812009238767,0.7912866483595614,48.67206836825714,29.770477598331617
DJ AKI,Second First Date (Feat. Ritha K) (Bonus Track From Jazz Set),0.16724242015660895,0.11478624555635414,0.3195939854319673,0.29252856908922165,0.4406219826366605,21.659683451284515,24.486230178618285
DJ DOC,겨울 이야기,0.5681621000271329,0.8762441221497587,0.9506849185516074,0.9407125692473762,0.1828092505000773,76.66192345503967,71.14496748356333
EXO,Gravity,0.47574580447627257,0.8095363582426568,0.9276388095606901,0.8708273172316026,0.8617904902239464,77.77532468500101,71.71242319956279
EXO,으르렁 [Growl],0.10757579672157624,0.6933237794136451,0.6810402253636721,0.6889657130121607,0.8161909198411694,58.55683794678407,46.798297628927855
Eyedi,& New,0.3923711178932867,0.36954901047690925,0.2409177952330271,0.2829280556848617,0.6768443996911524,37.04546323536279,36.63569583576986
f(x),4 Walls,0.6654853730091297,0.44642698666161246,0.753536311023441,0.7509287988125384,0.7220707184897697,60.967508320139,68.3936941685986
f(x),미행 [그림자：Shadow],0.47574580447627257,0.7679542750310809,0.9228524791329047,0.9089560165539732,0.4558587772871582,72.33828461183809,67.90413261597084
F.T Island,바래,0.847155427871578,0.6772045093572496,0.6141203361501769,0.6073410700928109,0.7937847077659468,70.32495343331266,73.02533741095485
G-DRAGON,그XX,0.47574580447627257,0.29524175182288337,0.36372830627493685,0.4392427379859377,0.34156775651980437,36.40725723299695,41.45734814769528
G-DRAGON,"불 붙여봐라 (Feat. 타블로, 도끼)",0.2083709341932341,0.24756181027823654,0.28323984061421126,0.38773091782614816,0.2509471244840057,26.12146833037991,26.739341884158975
GD & TOP,Oh Yeah (Feat. 박봄),0.6654853730091297,0.3275313161530832,0.7188344743384225,0.7541256282268933,0.9208771756006594,57.537677631349894,68.56270188920892
Glen Check,`84,0.47574580447627257,0.7567066723444957,0.31968200138231584,0.585579969498133,0.2630961549991343,54.66358425592426,47.33309987009618
Gloomy 30's,바꿔 (추노 OST),0.761206540659798,0.8403479788137729,0.42627273412338706,0.4529772580451748,0.6951207503557386,68.84448473222375,63.38794876145827
god,거짓말,0.761206540659798,0.9722837833114002,0.9627900252158785,0.9717787409668606,0.1114602799335701,84.20367285897385,79.9770775824964
god,촛불 하나,0.2588771124210463,0.21131047685468413,0.7643608563120398,0.5935367526192142,0.22432736908957596,37.09581966593699,41.86941513490953
GroovyRoom,"Tell me (Feat. Sik-K, 기리보이)",0.2083709341932341,0.09242998502032307,0.17417985462074265,0.18908735030336687,0.8884998774855122,22.12408745498125,25.409480091269906
GroovyRoom,"어디쯤에 (Feat. 수란, pH. 1)",0.16724242015660895,0.06399976539774943,0.321814974650826,0.24569099966889713,0.9274654314707081,24.07270282345473,27.954468261343397
H.O.T.,Outside Castle [The Castle Outsiders],0.847155427871578,0.9236370884463848,0.30306058853134826,0.2732866198008618,0.09028744010039064,63.58554446492644,55.55240656697508
House Rulez,Do It (Feat. 이윤정),0.6654853730091297,0.8694921808038633,0.7716279325800974,0.7837212816085615,0.3350735550078105,74.70990171010278,69.7720565622551
House Rulez,집 (Feat. 유미),0.6654853730091297,0.6883842049014488,0.3478442643034202,0.46410175145252436,0.08144050439799794,53.25738350081418,50.55658232847855
