SOLDDATE,TEMP,HUM,REGION_U
2018-06-02,23.4,44.5,서울
2018-06-03,24.0,39.4,서울
2018-06-04,22.6,50.1,서울
2018-06-05,23.7,52.5,서울
2018-06-06,23.0,62.9,서울
2018-06-07,22.2,69.3,서울
2018-06-08,21.9,68.0,서울
2018-06-09,23.7,60.6,서울
2018-06-10,21.3,59.9,서울
2018-06-11,20.2,67.3,서울
2018-06-12,21.3,65.5,서울
2018-06-13,22.0,64.0,서울
2018-06-14,21.6,74.9,서울
2018-06-15,21.7,60.8,서울
2018-06-16,22.5,56.4,서울
2018-06-17,22.8,66.9,서울
2018-06-18,24.8,54.9,서울
2018-06-19,22.4,61.3,서울
2018-06-20,22.7,68.1,서울
2018-06-21,23.7,60.1,서울
2018-06-22,25.0,45.1,서울
2018-06-23,24.5,50.6,서울
2018-06-24,25.2,62.8,서울
2018-06-25,27.1,57.1,서울
2018-06-26,22.3,88.3,서울
2018-06-27,22.3,81.9,서울
2018-06-28,23.3,85.1,서울
2018-06-29,24.7,78.5,서울
2018-06-30,24.4,83.8,서울
2018-07-01,21.9,94.6,서울
2018-07-02,22.6,95.4,서울
2018-07-03,27.4,74.4,서울
2018-07-04,27.3,69.6,서울
2018-07-05,25.3,72.8,서울
2018-07-06,23.9,57.8,서울
2018-07-07,23.7,51.4,서울
2018-07-08,23.3,51.5,서울
2018-07-09,20.8,82.3,서울
2018-07-10,23.7,87.8,서울
2018-07-11,26.8,82.9,서울
2018-07-12,26.6,82.4,서울
2018-07-13,27.3,74.8,서울
2018-07-14,27.9,69.6,서울
2018-07-15,28.3,69.6,서울
2018-07-16,28.7,64.3,서울
2018-07-17,28.1,66.5,서울
2018-07-18,28.2,64.8,서울
2018-07-19,28.7,64.1,서울
2018-07-20,29.5,62.6,서울
2018-07-21,30.6,53.6,서울
2018-07-22,31.8,49.6,서울
2018-07-23,31.7,53.8,서울
2018-07-24,31.4,59.5,서울
2018-07-25,30.1,66.3,서울
2018-07-26,30.1,68.8,서울
2018-07-27,30.9,69.3,서울
2018-07-28,29.5,77.1,서울
2018-07-29,31.3,52.4,서울
2018-07-30,31.7,50.9,서울
2018-07-31,32.6,50.5,서울
2018-08-01,33.6,55.5,서울
2018-08-02,33.7,54.4,서울
2018-08-03,33.1,55.3,서울
2018-08-04,31.1,60.6,서울
2018-08-05,30.0,71.8,서울
2018-08-06,30.5,71.6,서울
2018-08-07,30.5,63.4,서울
2018-08-08,31.0,64.8,서울
2018-08-09,28.8,76.3,서울
2018-08-10,30.7,60.9,서울
2018-08-11,31.0,55.8,서울
